status » timestamp,status » error_code,status » error_message,status » elapsed,status » credit_count,status » notice,status » total_count,data » id,data » name,data » symbol,data » slug,data » num_market_pairs,data » date_added,data » tags » 1,data » tags » 2,data » tags » 3,data » tags » 4,data » tags » 5,data » tags » 6,data » tags » 7,data » tags » 8,data » tags » 9,data » tags » 10,data » tags » 11,data » tags » 12,data » tags » 13,data » tags » 14,data » tags » 15,data » tags » 16,data » tags » 17,data » tags » 18,data » tags » 19,data » tags » 20,data » tags » 21,data » tags » 22,data » tags » 23,data » tags » 24,data » tags » 25,data » tags » 26,data » tags » 27,data » tags » 28,data » tags » 29,data » max_supply,data » circulating_supply,data » total_supply,data » platform,data » platform » id,data » platform » name,data » platform » symbol,data » platform » slug,data » platform » token_address,data » cmc_rank,data » last_updated,data » quote » USD » price,data » quote » USD » volume_24h,data » quote » USD » percent_change_1h,data » quote » USD » percent_change_24h,data » quote » USD » percent_change_7d,data » quote » USD » percent_change_30d,data » quote » USD » percent_change_60d,data » quote » USD » percent_change_90d,data » quote » USD » market_cap,data » quote » USD » last_updated
,,,,,,,3077,VeChain,VET,vechain,126,2017-08-22T00:00:00.000Z,logistics,data-provenance,iot,smart-contracts,fenbushi-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,86712634466,64315576989,86712634466,,,,,,,21,2021-05-22T04:20:02.000Z,0.1032289796,2017297456,-0.06872395,-20.02334174,-43.97224025,-53.65616201,16.9411545,88.87766793,6639231388,2021-05-22T04:20:02.000Z
,,,,,,,2416,THETA,THETA,theta,52,2018-01-17T00:00:00.000Z,media,collectibles-nfts,content-creation,video,huobi-capital,,,,,,,,,,,,,,,,,,,,,,,,,1000000000,1000000000,1000000000,,,,,,,22,2021-05-22T04:20:06.000Z,6.051582635,509285061.1,0.13622982,-17.72482569,-39.24938001,-45.20515627,-46.67726031,66.01042513,6051582635,2021-05-22T04:20:06.000Z
,,,,,,,1958,TRON,TRX,tron,523,2017-09-13T00:00:00.000Z,media,payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71659657369,100850743812,,,,,,,23,2021-05-22T04:20:08.000Z,0.07537245854,2539896909,-0.84239864,-16.97276304,-39.21791105,-38.29092688,23.79022192,28.74552146,5401164554,2021-05-22T04:20:08.000Z
,,,,,,,2280,Filecoin,FIL,filecoin,122,2017-12-13T00:00:00.000Z,mineable,distributed-computing,filesharing,storage,polychain-capital-portfolio,blockchain-capital-portfolio,boostvc-portfolio,dcg-portfolio,hashkey-capital-portfolio,a16z-portfolio,winklevoss-capital,pantera-capital-portfolio,,,,,,,,,,,,,,,,,,,73184594,73184594,,,,,,,24,2021-05-22T04:20:04.000Z,71.22487985,1960908522,-0.80277514,-20.15344239,-40.94501333,-51.7833076,-7.10295209,62.36849542,5212563915,2021-05-22T04:20:04.000Z
,,,,,,,1765,EOS,EOS,eos,478,2017-07-01T00:00:00.000Z,medium-of-exchange,enterprise-solutions,smart-contracts,binance-chain,fenbushi-capital-portfolio,galaxy-digital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,953585881.2,1029752959,,,,,,,25,2021-05-22T04:20:06.000Z,5.378054578,4601004485,0.19206222,-17.35422969,-52.07123673,-14.48667747,27.50139101,8.69826682,5128436914,2021-05-22T04:20:06.000Z
,,,,,,,4943,Dai,DAI,multi-collateral-dai,452,2019-11-22T00:00:00.000Z,defi,stablecoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4452050884,4452051372,,1027,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,26,2021-05-22T04:19:09.000Z,1.000558706,1157966687,0.01277489,0.0131809,0.08713427,-0.00099615,-0.10694115,-0.06743263,4454538273,2021-05-22T04:19:09.000Z
,,,,,,,7278,Aave,AAVE,aave,205,2020-10-02T00:00:00.000Z,defi,dao,yield-farming,three-arrows-capital-portfolio,governance,lending-borowing,blockchain-capital-portfolio,defiance-capital,framework-ventures,alameda-research-portfolio,pantera-capital-portfolio,parafi-capital,polygon-ecosystem,,,,,,,,,,,,,,,,,16000000,12758052.86,16000000,,1027,Ethereum,ETH,ethereum,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,27,2021-05-22T04:20:03.000Z,342.4829018,1239145238,0.00969292,-27.28635613,-41.68115753,-5.32353001,-1.13501207,-22.07926114,4369414966,2021-05-22T04:20:03.000Z
,,,,,,,328,Monero,XMR,monero,177,2014-05-21T00:00:00.000Z,mineable,pow,medium-of-exchange,privacy,ringct,boostvc-portfolio,electric-capital-portfolio,galaxy-digital-portfolio,,,,,,,,,,,,,,,,,,,,,,,17914829.93,17914829.93,,,,,,,28,2021-05-22T04:20:06.000Z,234.9553429,1147605779,-0.66324353,-22.38535619,-42.87477985,-38.81447097,7.90015056,-8.10088111,4209185008,2021-05-22T04:20:06.000Z
,,,,,,,1376,Neo,NEO,neo,264,2016-09-08T00:00:00.000Z,platform,enterprise-solutions,smart-contracts,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000,70538831,100000000,,,,,,,29,2021-05-22T04:20:06.000Z,53.62103541,1179271054,-0.75658673,-22.07645706,-46.1418135,-43.72633464,28.12960224,3.50236566,3782365155,2021-05-22T04:20:06.000Z
,,,,,,,4256,Klaytn,KLAY,klaytn,40,2020-03-30T00:00:00.000Z,platform,enterprise-solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465876920,10575375923,,,,,,,30,2021-05-22T04:20:04.000Z,1.43045142,98887995.65,-3.23899461,-17.16108153,-37.98217235,-39.66267357,-51.39654736,3.14888482,3527317143,2021-05-22T04:20:04.000Z
